description,type,price,size,bedrooms,parking_spaces,bathrooms,modo
"Shis Qi 27 - Conjunto 14, Setor de Habitações Individuais Sul · Brasília",Casa,6.557,325 m²,4 quartos,1 vaga,,
"Quadra Ca 11, Setor de Habitações Individuais Norte · Brasília",Casa,7.805,500 m²,2 quartos,8 vagas,,
"Qe 40 Rua 05, Guará Ii · Brasília",apartamento,8.179,48 m²,2 quartos,0 vaga,,
"Rua 36 Sul Torre A Apto 814, Águas Claras  · Brasília",Studio,8.916,24 m²,1 quarto,1 vaga,,
"Rua 18 Norte, Águas Claras · Brasília",Apartamento,3.349,40 m²,1 quarto,0 vaga,,
"Avenida das Castanheiras Bloco A, Norte (águas Claras) · Brasília",Apartamento,4.749,34 m²,1 quarto,0 vaga,,
"Shin Ql 13 Conjunto 4, Setor de Habitações Individuais Norte · Brasília",Casa,3.528,600 m²,5 quartos,4 vagas,,
"Qsc 19 Chácara 26 Conjunto C, Taguatinga Sul (taguatinga) · Brasília",Studio,1.844,25 m²,1 quarto,0 vaga,,
"Rodovia Df-150 Km 25, Sh Grande Colorado · Brasília",,12.940,596 m²,4 quartos,6 vagas,,
"Guará Brasília - Df 71215-100 Brasil, Guara · Brasília",Apartamento,887,60 m²,1 quarto,2 vagas,,
"Shn Quadra 1 Bloco D Área Especial A, Asa Norte · Brasília",Apartamento,7.722,35 m²,1 quarto,1 vaga,,
"Bl J - Brasília, Df, 70297-400, Brasil, Asa Norte · Brasília",apartamento,5.763,30 m²,1 quarto,0 vaga,,
"Avenida das Araucárias, Sul (águas Claras) · Brasília",apartamento,6.034,49 m²,1 quarto,1 vaga,,
"Rua 36, Águas Claras · Brasília",Apartamento,3.313,53 m²,2 quartos,1 vaga,,
"Qnd 58, Taguatinga Norte (taguatinga) · Brasília",studio,3.649,21 m²,1 quarto,0 vaga,,
"Chácara 144, Setor Habitacional Samambaia (taguatinga) · Brasília",studio,4.001,50 m²,2 quartos,1 vaga,,
"Rua 3, Águas Claras · Brasília",Apartamento,1.794,85 m²,2 quartos,1 vaga,,
"Setor Hoteleiro  Hotel Goinn, Taguatinga Centro (taguatinga) · Brasília",Apartamento,1.746,33 m²,1 quarto,1 vaga,,
"Sgan 915 Lt. F, Setor de Grandes Áreas Norte 915 · Brasília",Apartamento,5.683,28 m²,1 quarto,1 vaga,,
"Rua 36, Norte · Brasília",Studio,4.177,32 m²,1 quarto,2 vagas,,
"Rua 28 Norte, Norte (águas Claras) · Brasília",Apartamento,2.487,180 m²,4 quartos,3 vagas,,
"Quadra 105, Águas Claras · Brasília",apartamento,2.343,190 m²,3 quartos,2 vagas,,
"Shcnw Sqnw - Brasília Df Brasil, Setor Noroeste · Brasília",Studio,9.424,51 m²,1 quarto,1 vaga,,
